Data set,Ligand InChI,LogBIO,PubChem SID,AIC100%,AIC95%,BIC100%,BIC95%,r2a100%,r2a95%
Training set,"InChI=1S/C28H26N4O3/c1-28-26(34-3)17(29-2)12-20(35-28)31-18-10-6-4-8-14(18)22-23-16(13-30-27(23)33)21-15-9-5-7-11-19(15)32(28)25(21)24(22)31/h4-11,17,20,26,29H,12-13H2,1-3H3,(H,30,33)/t17-,20-,26-,28+/m1/s1",9.443697,8032349,7.619,7.356,6.856,6.78,7.884,7.375
Training set,"InChI=1S/C22H26FN7O/c1-13(2)30-14(3)24-10-20(30)21-19(23)9-25-22(28-21)27-16-5-7-18(8-6-16)29-11-17(12-29)26-15(4)31/h5-10,13,17H,11-12H2,1-4H3,(H,26,31)(H,25,27,28)",9.30103,104111604,8.109,8.027,7.564,7.619,8.517,7.301
Training set,"InChI=1S/C19H26N6O/c1-4-15(11-26)22-19-23-17(20-10-14-8-6-5-7-9-14)16-18(24-19)25(12-21-16)13(2)3/h5-9,12-13,15,26H,4,10-11H2,1-3H3,(H2,20,22,23,24)/t15-/m1/s1",9.221849,11108321,6.602,6.361,6.676,6.637,6.701,6.576
Training set,"InChI=1S/C21H28N6O2/c1-2-17-14-23-27-19(22-13-16-6-5-9-25(29)15-16)12-20(24-21(17)27)26-10-4-3-7-18(26)8-11-28/h5-6,9,12,14-15,18,22,28H,2-4,7-8,10-11,13H2,1H3/t18-/m0/s1",9,336952252,7.051,6.802,6.437,6.734,7.27,6.862
Training set,"InChI=1S/C20H26N6O3S/c1-14(2)26-15(3)22-13-19(26)18-9-10-21-20(25-18)24-16-5-7-17(8-6-16)30(27,28)23-11-12-29-4/h5-10,13-14,23H,11-12H2,1-4H3,(H,21,24,25)",9,104111525,8.305,8.239,8.241,8.047,8.336,7.822
Training set,"InChI=1S/C24H29F2N7O/c1-14(2)33-15(3)27-13-21(33)22-20(26)12-28-24(31-22)30-17-5-6-18(19(25)11-17)23(34)29-16-7-9-32(4)10-8-16/h5-6,11-14,16H,7-10H2,1-4H3,(H,29,34)(H,28,30,31)",9,104101844,8.006,7.885,7.493,7.387,8.674,7.864
Training set,"InChI=1S/C21H28N6O2/c1-2-17-14-23-27-19(22-13-16-6-5-9-25(29)15-16)12-20(24-21(17)27)26-10-4-3-7-18(26)8-11-28/h5-6,9,12,14-15,18,22,28H,2-4,7-8,10-11,13H2,1H3/t18-/m0/s1",9,336952252,7.255,6.996,6.646,6.728,7.352,7.039
Training set,"InChI=1S/C17H14N6O2S/c18-26(24,25)13-6-4-12(5-7-13)21-17-19-9-8-14(22-17)15-11-20-16-3-1-2-10-23(15)16/h1-11H,(H2,18,24,25)(H,19,21,22)",9,11108431,8.197,8.231,8.185,8.406,8.146,8.558
Training set,"InChI=1S/C18H20N4O3S/c1-11(2)10-12-4-3-5-15-16(12)17(18(23)20-15)22-21-13-6-8-14(9-7-13)26(19,24)25/h3-9,11,21H,10H2,1-2H3,(H2,19,24,25)(H,20,22,23)",8.920819,11108466,8.153,8.091,7.825,7.8,8.178,8.099
Training set,"InChI=1S/C18H20N4O3S/c1-11(2)10-12-4-3-5-15-16(12)17(18(23)20-15)22-21-13-6-8-14(9-7-13)26(19,24)25/h3-9,11,21H,10H2,1-2H3,(H2,19,24,25)(H,20,22,23)",8.920819,11108466,8.122,8.068,7.812,7.787,8.236,8.086
Training set,"InChI=1S/C28H26N4O3/c1-28-26(34-3)17(29-2)12-20(35-28)31-18-10-6-4-8-14(18)22-23-16(13-30-27(23)33)21-15-9-5-7-11-19(15)32(28)25(21)24(22)31/h4-11,17,20,26,29H,12-13H2,1-3H3,(H,30,33)/t17-,20-,26-,28+/m1/s1",8.853872,8032349,7.586,7.356,6.858,6.774,7.865,7.371
Training set,"InChI=1S/C18H18N4O3S/c1-11(2)10-12-4-3-5-15-16(12)17(18(23)20-15)22-21-13-6-8-14(9-7-13)26(19,24)25/h3-10,21H,1-2H3,(H2,19,24,25)(H,20,22,23)",8.823909,11108467,7.392,7.587,7.877,7.838,7.424,7.857
Training set,"InChI=1S/C18H18N4O3S/c1-11(2)10-12-4-3-5-15-16(12)17(18(23)20-15)22-21-13-6-8-14(9-7-13)26(19,24)25/h3-10,21H,1-2H3,(H2,19,24,25)(H,20,22,23)",8.823909,11108467,7.392,7.587,7.877,7.838,7.424,7.857
Training set,"InChI=1S/C17H13N5O3S/c18-26(24,25)11-5-3-10(4-6-11)21-22-16-15-12-2-1-9-19-13(12)7-8-14(15)20-17(16)23/h1-9,19H,(H,20,23)(H2,18,24,25)",8.79588,11108519,7.442,7.561,7.112,7.229,7.485,7.639
Training set,"InChI=1S/C24H23N5O6S/c1-34-20-4-3-5-21(35-2)18(20)13-26-23(30)14-6-11-19-17(12-14)22(24(31)27-19)29-28-15-7-9-16(10-8-15)36(25,32)33/h3-12,28H,13H2,1-2H3,(H,26,30)(H2,25,32,33)(H,27,29,31)",8.769551,11108501,6.926,7.215,7.234,7.337,7.263,6.804
Training set,"InChI=1S/C20H21N3O4S/c1-12(2)9-19(24)13-3-8-18-16(10-13)17(20(25)23-18)11-22-14-4-6-15(7-5-14)28(21,26)27/h3-8,10-12,17H,9H2,1-2H3,(H,23,25)(H2,21,26,27)",8.721246,11108493,8.138,8.326,7.901,7.941,8.063,7.756
Training set,"InChI=1S/C17H24BrN5O3S/c1-10(17(2,3)24)21-15-12(18)9-20-16(23-15)22-11-6-7-14(27(5,19)25)13(8-11)26-4/h6-10,19,24H,1-5H3,(H2,20,21,22,23)/t10-,27?/m1/s1",8.69897,242052629,7.876,7.962,7.82,7.808,8.21,7.95
Training set,"InChI=1S/C20H23FN6O/c1-12(2)27-13(3)22-11-17(27)18-16(21)10-23-20(25-18)24-15-8-6-14(7-9-15)19(28)26(4)5/h6-12H,1-5H3,(H,23,24,25)",8.69897,104101798,7.979,7.707,7.343,7.374,7.654,7.326
Training set,"InChI=1S/C15H12F2N6O3S/c16-10-2-1-3-11(17)12(10)13(24)23-14(18)21-15(22-23)20-8-4-6-9(7-5-8)27(19,25)26/h1-7H,(H2,19,25,26)(H3,18,20,21,22)",8.69897,8036422,8.378,8.13,7.724,7.736,8.251,7.98
Training set,"InChI=1S/C20H24N6O2/c1-13(2)26-14(3)23-12-18(26)17-8-9-22-20(25-17)24-16-6-4-15(5-7-16)19(28)21-10-11-27/h4-9,12-13,27H,10-11H2,1-3H3,(H,21,28)(H,22,24,25)",8.69897,104101755,7.59,7.28,7.732,7.524,7.489,7.21
