Data set,Ligand InChI Key,PubChem SID,LogBIO,AIC100%,BIC100%,r2a100%,AIC95%,BIC95%,r2a95%
Training set,HLRBSTGXOFUEHW-OAHLLOKOSA-N,252633121,10.154902,8.577,8.187,8.669,8.598,7.948,8.795
Training set,TVIUJNLDORXPPC-OAHLLOKOSA-N,103925284,10.148742,8.323,7.97,8.705,8.378,7.883,8.419
Training set,TVIUJNLDORXPPC-OAHLLOKOSA-N,103925284,10.148742,8.353,7.992,8.632,8.373,7.896,8.38
Training set,LNEPOXFFQSENCJ-UHFFFAOYSA-N,49689470,10.124939,7.711,7.748,7.815,7.752,7.717,7.79
Training set,HUAOWHVSGILVDD-UHFFFAOYSA-N,103920802,9.443697,7.914,7.689,7.918,7.985,7.49,7.84
Training set,KRVOJOCLBAAKSJ-UHFFFAOYSA-N,225146185,9.318759,7.004,7.191,7.089,7.099,7.212,7.358
Training set,KRVOJOCLBAAKSJ-KSSFIOAISA-N,103918666,9.309804,6.435,6.819,6.567,6.504,6.932,6.549
Training set,ZZJYIKPMDIWRSN-HWBMXIPRSA-N,103921865,9.30103,6.426,6.057,6.526,6.521,6.456,6.221
Training set,RHRKSVACMIQFDY-UHFFFAOYSA-N,103923395,9.207608,6.923,6.866,6.951,7.019,7.012,7.057
Training set,INSDLPNRRROKEU-UHFFFAOYSA-N,103948278,9.207608,8.796,8.94,8.547,8.835,8.858,8.781
Training set,OHMIBGFTDCPQGJ-QGZVFWFLSA-N,103920804,9.187087,7.642,7.927,7.733,7.858,8.642,7.828
Training set,CIPDKOWUWNPALY-UHFFFAOYSA-N,104040158,9.154902,7.887,7.275,7.958,7.993,7.205,7.577
Training set,XMEYKENMGPBBQT-UHFFFAOYSA-N,103916364,9.119186,7.721,7.334,8.285,7.757,7.395,7.689
Training set,NHGHSSSIIOPHJZ-ZDUSSCGKSA-N,160847169,9.113509,7.462,7.258,7.651,7.449,7.425,7.444
Training set,NZSGOEUDQMTJJY-OAHLLOKOSA-N,103925282,9.05061,7.569,7.123,7.782,7.648,7.501,7.657
Training set,NZSGOEUDQMTJJY-OAHLLOKOSA-N,103925282,9.05061,7.569,7.123,7.782,7.648,7.501,7.657
Training set,AADCDMQTJNYOSS-LBPRGKRZSA-N,103920793,9.036212,7.935,8.314,8.029,8.001,7.878,7.987
Training set,AADCDMQTJNYOSS-LBPRGKRZSA-N,103920793,9.036212,7.669,7.956,7.696,7.749,7.506,7.8
